Company,BestList,WorstList,Info
Dustin,"[['Utbud/sortiment', 0.9185802541342771], ['Leverans(dörr)', 0.5357497142730488], ['Kundtjänst (mail)', 0.44176412110997054], ['Retur (kläder)', 0.40113849002320096]]",[],"Dustin is best at:
Utbud/sortiment (Score: 0.9185802541342771)
Leverans(dörr) (Score: 0.5357497142730488)
Kundtjänst (mail) (Score: 0.44176412110997054)
Retur (kläder) (Score: 0.40113849002320096)
and worst at:
-
Overall Score: 3.8115577889447234
"
Boozt,"[['Personal/service', 0.330910407184541]]","[['Verkstad/leverans', -0.5208638209066448], ['Rabatt / bf', -0.38699218910335575], ['Seriöshet', -0.28957255061804305], ['Möbler', -0.24580129242737797]]","Boozt is best at:
Personal/service (Score: 0.330910407184541)
and worst at:
Verkstad/leverans (Score: -0.5208638209066448)
Rabatt / bf (Score: -0.38699218910335575)
Seriöshet (Score: -0.28957255061804305)
Möbler (Score: -0.24580129242737797)
Overall Score: 2.7216494845360826
"
Cdon,[],"[['Rabatt / bf', -0.9021982127564427], ['Beställningsproblem (noise)', -0.39098573659957503], ['Verkstad/leverans', -0.3569960168363612], ['Utbud/sortiment', -0.33254475220719687]]","Cdon is best at:
-
and worst at:
Rabatt / bf (Score: -0.9021982127564427)
Beställningsproblem (noise) (Score: -0.39098573659957503)
Verkstad/leverans (Score: -0.3569960168363612)
Utbud/sortiment (Score: -0.33254475220719687)
Overall Score: 2.4925373134328357
"
Adlibris,[],"[['Leverans (2)', -2.902242862903669], ['Möbler', -1.548384948714892], ['Beställningsproblem (noise)', -1.3744426496839894], ['Rabatt / bf', -1.121340617330977]]","Adlibris is best at:
-
and worst at:
Leverans (2) (Score: -2.902242862903669)
Möbler (Score: -1.548384948714892)
Beställningsproblem (noise) (Score: -1.3744426496839894)
Rabatt / bf (Score: -1.121340617330977)
Overall Score: 1.4204545454545454
"
Ellos,"[['Kundtjänst (mail)', 0.586355431524657], ['Returer', 0.4339877950569575], ['Hemsida', 0.41536072078998215], ['Problemhantering/cykel', 0.3971165490516168]]",[],"Ellos is best at:
Kundtjänst (mail) (Score: 0.586355431524657)
Returer (Score: 0.4339877950569575)
Hemsida (Score: 0.41536072078998215)
Problemhantering/cykel (Score: 0.3971165490516168)
and worst at:
-
Overall Score: 3.9350961538461537
"
Apotea,"[['Problemhantering/cykel', 0.8642817603475075], ['Noise', 0.6529266809808951], ['Kundtjänst (mail)', 0.6149828350543386], ['Retur (kläder)', 0.5023002659262428]]",[],"Apotea is best at:
Problemhantering/cykel (Score: 0.8642817603475075)
Noise (Score: 0.6529266809808951)
Kundtjänst (mail) (Score: 0.6149828350543386)
Retur (kläder) (Score: 0.5023002659262428)
and worst at:
-
Overall Score: 4.21969696969697
"
Nelly,"[['Returer', 0.1343521243423438]]","[['Fakturering/betalning', -0.9574593238845399], ['Leverans(dörr)', -0.41074295671368116], ['Möbler', -0.35270815154504664], ['Service/Leverans', -0.34495042829273553]]","Nelly is best at:
Returer (Score: 0.1343521243423438)
and worst at:
Fakturering/betalning (Score: -0.9574593238845399)
Leverans(dörr) (Score: -0.41074295671368116)
Möbler (Score: -0.35270815154504664)
Service/Leverans (Score: -0.34495042829273553)
Overall Score: 2.3968253968253967
"
Bygghemma,"[['Fakturering/betalning', 0.5633853494310148], ['Retur (kläder)', 0.5370153926880343], ['Utbud/sortiment', 0.3657417397933659], ['Seriöshet', 0.3289632204003758]]",[],"Bygghemma is best at:
Fakturering/betalning (Score: 0.5633853494310148)
Retur (kläder) (Score: 0.5370153926880343)
Utbud/sortiment (Score: 0.3657417397933659)
Seriöshet (Score: 0.3289632204003758)
and worst at:
-
Overall Score: 3.778313253012048
"
Komplett,"[['Noise', 1.0843250471698174], ['Lagerhantering', 0.8460980611207536], ['Leverans (2)', 0.7394729242653978], ['Utbud/sortiment', 0.6849889470122064]]",[],"Komplett is best at:
Noise (Score: 1.0843250471698174)
Lagerhantering (Score: 0.8460980611207536)
Leverans (2) (Score: 0.7394729242653978)
Utbud/sortiment (Score: 0.6849889470122064)
and worst at:
-
Overall Score: 4.464566929133858
"
MatHem,"[['Noise', 2.5227272727272725], ['Rabatt / bf', 2.074175824175824], ['Seriöshet', 1.2499999999999998], ['Personal/service', 1.1742424242424243]]","[['Möbler', -3.299783549783549], ['Leverans (2)', -1.845238095238095], ['Beställningsproblem (noise)', -1.25], ['Kundtjänst (mail)', -0.8611111111111112]]","MatHem is best at:
Noise (Score: 2.5227272727272725)
Rabatt / bf (Score: 2.074175824175824)
Seriöshet (Score: 1.2499999999999998)
Personal/service (Score: 1.1742424242424243)
and worst at:
Möbler (Score: -3.299783549783549)
Leverans (2) (Score: -1.845238095238095)
Beställningsproblem (noise) (Score: -1.25)
Kundtjänst (mail) (Score: -0.8611111111111112)
Overall Score: 3.0
"
